Fecha,Temp[C]
14-Jan-2021 11:06:38,18
14-Jan-2021 11:06:39,218
14-Jan-2021 11:06:39,218
14-Jan-2021 11:06:39,217
14-Jan-2021 11:06:39,217
14-Jan-2021 11:06:39,7
14-Jan-2021 11:06:39,217
14-Jan-2021 11:06:39,217
14-Jan-2021 11:06:39,217
14-Jan-2021 11:06:39,216
14-Jan-2021 11:06:39,216
14-Jan-2021 11:06:39,216
14-Jan-2021 11:06:39,216
14-Jan-2021 11:06:39,216
14-Jan-2021 11:06:39,216
14-Jan-2021 11:06:39,6
14-Jan-2021 11:06:39,215
14-Jan-2021 11:06:39,215
14-Jan-2021 11:06:39,215
14-Jan-2021 11:06:39,215
14-Jan-2021 11:06:39,215
14-Jan-2021 11:06:39,15
14-Jan-2021 11:06:39,NaN
14-Jan-2021 11:06:39,14
14-Jan-2021 11:06:39,NaN
14-Jan-2021 11:06:39,14
14-Jan-2021 11:06:39,214
14-Jan-2021 11:06:39,214
14-Jan-2021 11:06:39,214
14-Jan-2021 11:06:40,14
14-Jan-2021 11:06:40,214
14-Jan-2021 11:06:40,213
14-Jan-2021 11:06:40,213
14-Jan-2021 11:06:40,213
14-Jan-2021 11:06:40,3
14-Jan-2021 11:06:40,213
14-Jan-2021 11:06:40,213
14-Jan-2021 11:06:40,212
14-Jan-2021 11:06:40,212
14-Jan-2021 11:06:40,212
14-Jan-2021 11:06:40,212
14-Jan-2021 11:06:40,2
14-Jan-2021 11:06:40,212
14-Jan-2021 11:06:40,212
14-Jan-2021 11:06:40,212
14-Jan-2021 11:06:40,211
14-Jan-2021 11:06:40,211
14-Jan-2021 11:06:40,11
14-Jan-2021 11:06:40,211
14-Jan-2021 11:06:40,211
14-Jan-2021 11:06:40,NaN
14-Jan-2021 11:06:40,11
14-Jan-2021 11:06:40,210
14-Jan-2021 11:06:40,210
14-Jan-2021 11:06:40,210
14-Jan-2021 11:06:40,210
14-Jan-2021 11:06:40,210
14-Jan-2021 11:06:40,210
14-Jan-2021 11:06:41,210
14-Jan-2021 11:06:41,10
14-Jan-2021 11:06:41,209
14-Jan-2021 11:06:41,209
14-Jan-2021 11:06:41,209
14-Jan-2021 11:06:41,209
14-Jan-2021 11:06:41,209
14-Jan-2021 11:06:41,209
14-Jan-2021 11:06:41,9
14-Jan-2021 11:06:41,208
14-Jan-2021 11:06:41,209
14-Jan-2021 11:06:41,208
14-Jan-2021 11:06:41,208
14-Jan-2021 11:06:41,208
14-Jan-2021 11:06:41,208
14-Jan-2021 11:06:41,NaN
14-Jan-2021 11:06:41,8
14-Jan-2021 11:06:41,208
14-Jan-2021 11:06:41,208
14-Jan-2021 11:06:41,208
14-Jan-2021 11:06:41,7
14-Jan-2021 11:06:41,7
14-Jan-2021 11:06:41,207
14-Jan-2021 11:06:41,207
14-Jan-2021 11:06:41,207
14-Jan-2021 11:06:41,207
14-Jan-2021 11:06:41,207
